customer_id,gender,senior_citizen,partner,dependents,tenure,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn_probability,tenure_group
1066-JKSGK,Male,0,No,No,1,Month-to-month,No,Mailed check,20.15,20.15,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.39972227938549354,0-12 months (New)
3638-WEABW,Female,0,Yes,No,58,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,0.042694944338782334,48+ months (Loyal)
6322-HRPFA,Male,0,Yes,Yes,49,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,0.07971498522162583,48+ months (Loyal)
6865-JZNKO,Female,0,No,No,30,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Yes,No,DSL,Yes,Yes,No,No,No,No,0.28227410272967973,25-48 months
6467-CHFZW,Male,0,Yes,Yes,47,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0.7190948019467982,25-48 months
8665-UTDHZ,Male,0,Yes,Yes,1,Month-to-month,No,Electronic check,30.2,30.2,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,0.7101427059211811,0-12 months (New)
5248-YGIJN,Male,0,Yes,No,72,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,0.045186399858729395,48+ months (Loyal)
8773-HHUOZ,Female,0,No,Yes,17,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,0.605605322145179,13-24 months
3841-NFECX,Female,1,Yes,No,71,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,0.07444623688237238,48+ months (Loyal)
4929-XIHVW,Male,1,Yes,No,2,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,0.8738520944049238,0-12 months (New)
6827-IEAUQ,Female,0,Yes,Yes,27,One year,No,Mailed check,66.15,1874.45,No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,0.08144763451434986,25-48 months
7310-EGVHZ,Male,0,No,No,1,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.42558911766773344,0-12 months (New)
3413-BMNZE,Male,1,No,No,1,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Yes,No,DSL,No,No,No,No,No,No,0.6734391265734454,0-12 months (New)
6234-RAAPL,Female,0,Yes,Yes,72,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,0.06145167736345992,48+ months (Loyal)
6047-YHPVI,Male,0,No,No,5,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,0.8437718191119034,0-12 months (New)
6572-ADKRS,Female,0,No,No,46,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,0.47039887541585146,25-48 months
5380-WJKOV,Male,0,No,No,34,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.8000537446187383,25-48 months
8168-UQWWF,Female,0,No,No,11,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.8690412786379194,0-12 months (New)
8865-TNMNX,Male,0,Yes,Yes,10,One year,No,Mailed check,49.55,475.7,No,Yes,No,DSL,No,Yes,No,No,No,No,0.2614121658431138,0-12 months (New)
9489-DEDVP,Female,0,Yes,Yes,70,Two year,Yes,Credit card (automatic),69.2,4872.35,No,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,0.031885372881127895,48+ months (Loyal)
9867-JCZSP,Female,0,Yes,Yes,17,One year,No,Mailed check,20.75,418.25,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.10731528737373516,13-24 months
4671-VJLCL,Female,0,No,No,63,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,0.03913639015987144,48+ months (Loyal)
4080-IIARD,Female,0,Yes,No,13,Month-to-month,Yes,Electronic check,76.2,981.45,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,0.5445386991041031,13-24 months
3714-NTNFO,Female,0,No,No,49,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0.6786469978667639,48+ months (Loyal)
5948-UJZLF,Male,0,No,No,2,Month-to-month,No,Mailed check,49.25,97.0,No,Yes,No,DSL,No,Yes,No,No,No,No,0.5505920980562911,0-12 months (New)
7760-OYPDY,Female,0,No,No,2,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,0.8763213529793707,0-12 months (New)
7639-LIAYI,Male,0,No,No,52,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,0.09539304687351163,48+ months (Loyal)
2954-PIBKO,Female,0,Yes,Yes,69,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,0.018936370852498406,48+ months (Loyal)
8012-SOUDQ,Female,1,No,No,43,Month-to-month,Yes,Electronic check,90.25,3838.75,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.7403695146486411,25-48 months
9420-LOJKX,Female,0,No,No,15,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,0.7162253867292173,13-24 months
6575-SUVOI,Female,1,Yes,No,25,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,0.45379882613231454,25-48 months
7495-OOKFY,Female,1,Yes,No,8,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,0.7926027613432736,0-12 months (New)
4667-QONEA,Female,1,Yes,Yes,60,One year,Yes,Credit card (automatic),74.85,4456.35,No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,0.06793891464492631,48+ months (Loyal)
1658-BYGOY,Male,1,No,No,18,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.9048702977117669,13-24 months
8769-KKTPH,Female,0,Yes,Yes,63,One year,Yes,Credit card (automatic),99.65,6311.2,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,0.3076719852477255,48+ months (Loyal)
5067-XJQFU,Male,1,Yes,Yes,66,One year,Yes,Electronic check,108.45,7076.35,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.44484535044671086,48+ months (Loyal)
3957-SQXML,Female,0,Yes,Yes,34,Two year,No,Credit card (automatic),24.95,894.3,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.03257596912606641,25-48 months
5954-BDFSG,Female,0,No,No,72,Two year,Yes,Credit card (automatic),107.5,7853.7,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,0.19541882530594704,48+ months (Loyal)
0434-CSFON,Female,0,Yes,No,47,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.7577206824234076,25-48 months
1215-FIGMP,Male,0,No,No,60,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.5273742325469586,48+ months (Loyal)
0526-SXDJP,Male,0,Yes,No,72,Two year,No,Bank transfer (automatic),42.1,2962.0,No,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,0.014933647090353991,48+ months (Loyal)
0557-ASKVU,Female,0,Yes,Yes,18,One year,Yes,Credit card (automatic),54.4,957.1,No,Yes,No,DSL,No,No,Yes,Yes,No,No,0.2309310949409278,13-24 months
5698-BQJOH,Female,0,No,No,9,Month-to-month,No,Electronic check,94.4,857.25,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.8733430643975026,0-12 months (New)
5122-CYFXA,Female,0,No,No,3,Month-to-month,Yes,Electronic check,75.3,244.1,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,0.7379296943355367,0-12 months (New)
8627-ZYGSZ,Male,0,Yes,No,47,One year,Yes,Electronic check,78.9,3650.35,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,0.4210184155635573,25-48 months
3410-YOQBQ,Female,0,No,No,31,Two year,No,Mailed check,79.2,2497.2,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,0.11601961311767126,25-48 months
3170-NMYVV,Female,0,Yes,Yes,50,Two year,No,Bank transfer (automatic),20.15,930.9,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.012568858540339222,48+ months (Loyal)
7410-OIEDU,Male,0,No,No,10,Month-to-month,Yes,Mailed check,79.85,887.35,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,0.6630045074364591,0-12 months (New)
2273-QCKXA,Male,0,No,No,1,Month-to-month,No,Mailed check,49.05,49.05,No,Yes,No,DSL,No,No,No,Yes,No,No,0.5349440220267263,0-12 months (New)
0731-EBJQB,Female,0,Yes,Yes,52,One year,Yes,Electronic check,20.4,1090.65,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.044458281143859094,48+ months (Loyal)
1891-QRQSA,Male,1,Yes,Yes,64,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0.18806478221956052,48+ months (Loyal)
8028-PNXHQ,Male,0,Yes,Yes,62,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.013688369708260756,48+ months (Loyal)
5630-AHZIL,Female,0,No,Yes,3,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,Yes,No,DSL,Yes,No,No,Yes,No,Yes,0.5295205193375561,0-12 months (New)
2673-CXQEU,Female,1,No,No,56,One year,No,Electronic check,110.5,6139.5,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0.4356595579512702,48+ months (Loyal)
6416-JNVRK,Female,0,No,No,46,One year,No,Credit card (automatic),55.65,2688.85,No,Yes,No,DSL,No,No,No,No,No,Yes,0.1480872754777018,25-48 months
5590-ZSKRV,Female,0,Yes,Yes,8,Month-to-month,No,Mailed check,54.65,482.25,No,Yes,No,DSL,Yes,Yes,No,No,No,No,0.3330414228797336,0-12 months (New)
0191-ZHSKZ,Male,1,No,No,30,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,0.566487224460531,25-48 months
3887-PBQAO,Female,0,Yes,Yes,45,One year,Yes,Credit card (automatic),25.9,1216.6,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.05408390842577852,25-48 months
5919-TMRGD,Female,0,No,Yes,1,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,0.8649682148995548,0-12 months (New)
8108-UXRQN,Female,0,Yes,Yes,11,Month-to-month,No,Electronic check,50.55,565.35,No,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,0.6689020440793672,0-12 months (New)
9191-MYQKX,Female,0,Yes,No,7,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,0.7586173373255428,0-12 months (New)
9919-YLNNG,Female,0,No,No,42,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.6054099506330929,25-48 months
0318-ZOPWS,Female,0,Yes,No,49,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.022177420788367187,48+ months (Loyal)
4445-ZJNMU,Male,0,No,No,9,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0.8503907247181308,0-12 months (New)
4808-YNLEU,Female,0,Yes,No,35,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Yes,No,DSL,Yes,No,No,No,Yes,No,0.19939995315025527,25-48 months
1862-QRWPE,Female,0,Yes,Yes,48,Two year,No,Bank transfer (automatic),20.65,1057.0,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.01427050426941826,48+ months (Loyal)
2796-NNUFI,Female,0,Yes,Yes,46,Two year,Yes,Mailed check,19.95,927.1,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.019512667222111677,25-48 months
3016-KSVCP,Male,0,Yes,No,29,Month-to-month,No,Mailed check,33.75,1009.25,No,No,No phone service,DSL,No,No,No,No,Yes,No,0.4696460687550047,25-48 months
4767-HZZHQ,Male,0,Yes,Yes,30,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,0.44273268527543147,25-48 months
2424-WVHPL,Male,1,No,No,1,Month-to-month,No,Electronic check,74.7,74.7,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,0.806465642492292,0-12 months (New)
7233-PAHHL,Male,0,Yes,Yes,66,Two year,Yes,Mailed check,84.0,5714.25,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,0.05295569179809576,48+ months (Loyal)
6067-NGCEU,Female,0,No,No,65,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0.47655252332798664,48+ months (Loyal)
9848-JQJTX,Male,0,No,No,72,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.2529981251806869,48+ months (Loyal)
8637-XJIVR,Female,0,No,No,12,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,0.7807355550342091,13-24 months
9803-FTJCG,Male,0,Yes,Yes,71,One year,Yes,Credit card (automatic),66.85,4748.7,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,0.03420182928766838,48+ months (Loyal)
0278-YXOOG,Male,0,No,No,5,Month-to-month,No,Mailed check,21.05,113.85,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.3485303252079784,0-12 months (New)
3212-KXOCR,Male,0,No,No,52,Two year,No,Bank transfer (automatic),21.0,1107.2,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.01500241720661034,48+ months (Loyal)
4598-XLKNJ,Female,1,Yes,No,25,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.8322744246707885,25-48 months
6380-ARCEH,Male,0,No,No,1,Month-to-month,No,Mailed check,20.2,20.2,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.3993404328924173,0-12 months (New)
3679-XASPY,Female,0,Yes,Yes,1,Month-to-month,No,Electronic check,19.45,19.45,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.4408786049312305,0-12 months (New)
7123-WQUHX,Male,0,No,No,38,One year,No,Bank transfer (automatic),95.0,3605.6,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,0.39404718611696904,25-48 months
5386-THSLQ,Female,1,Yes,No,66,One year,No,Bank transfer (automatic),45.55,3027.25,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,0.09544152334343609,48+ months (Loyal)
3192-NQECA,Male,0,Yes,No,68,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0.21384512612206735,48+ months (Loyal)
6180-YBIQI,Male,0,No,No,5,Month-to-month,No,Mailed check,24.3,100.2,No,No,No phone service,DSL,No,No,No,No,No,No,0.6756111912106559,0-12 months (New)
6728-DKUCO,Female,0,Yes,Yes,72,One year,Yes,Electronic check,104.15,7303.05,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,0.31276059634462405,48+ months (Loyal)
9750-BOOHV,Female,0,No,No,32,One year,No,Mailed check,30.15,927.65,No,No,No phone service,DSL,Yes,No,No,No,No,No,0.16347871059675867,25-48 months
8597-CWYHH,Male,0,No,No,43,One year,No,Mailed check,94.35,3921.3,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0.4790902100052076,25-48 months
2848-YXSMW,Male,0,Yes,Yes,72,Two year,No,Credit card (automatic),19.4,1363.25,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.004200775903327003,48+ months (Loyal)
0486-HECZI,Male,0,Yes,No,55,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,0.5258713903372462,48+ months (Loyal)
4549-ZDQYY,Female,0,No,No,52,One year,No,Credit card (automatic),57.95,3042.25,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,0.05182160976639545,48+ months (Loyal)
5712-AHQNN,Female,0,No,No,43,Month-to-month,Yes,Electronic check,91.65,3954.1,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,0.6302127892417089,25-48 months
4846-WHAFZ,Female,1,Yes,No,37,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,0.7237164274599104,25-48 months
5256-SKJGO,Female,0,Yes,Yes,64,Two year,Yes,Electronic check,54.6,3423.5,No,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,0.07841578990018842,48+ months (Loyal)
3071-VBYPO,Male,0,Yes,Yes,3,Month-to-month,No,Electronic check,89.85,248.4,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,0.6977024768750074,0-12 months (New)
9560-BBZXK,Female,0,No,No,36,Two year,No,Bank transfer (automatic),31.05,1126.35,No,No,No phone service,DSL,Yes,No,No,No,No,No,0.07989958780337045,25-48 months
5299-RULOA,Female,0,Yes,Yes,10,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,0.8325818534282738,0-12 months (New)
8402-OOOHJ,Female,0,No,No,41,Two year,No,Mailed check,20.65,835.15,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.02197908698248327,25-48 months
9445-ZUEQE,Male,0,Yes,Yes,27,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,0.525111842510874,25-48 months
1091-SOZGA,Female,0,Yes,Yes,56,One year,Yes,Credit card (automatic),99.8,5515.45,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.4156383146516197,48+ months (Loyal)
2928-HLDBA,Female,0,No,No,6,Month-to-month,No,Mailed check,20.7,112.75,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.3315864920698038,0-12 months (New)
0404-SWRVG,Male,0,No,No,3,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,0.8787503889904933,0-12 months (New)
6497-TILVL,Female,0,Yes,Yes,7,Month-to-month,No,Mailed check,50.7,350.35,No,Yes,No,DSL,Yes,No,No,No,No,No,0.3711046350285315,0-12 months (New)
7219-TLZHO,Female,0,Yes,Yes,4,Month-to-month,No,Mailed check,20.85,62.9,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.3006923585303167,0-12 months (New)
4622-YNKIJ,Male,0,No,No,33,Two year,Yes,Electronic check,88.95,3027.65,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,0.28652692990502365,25-48 months
4412-YLTKF,Female,1,No,No,27,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,0.7987073776791028,25-48 months
6734-PSBAW,Male,0,Yes,No,72,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.01063475899242161,48+ months (Loyal)
3930-ZGWVE,Male,0,No,No,1,Month-to-month,No,Mailed check,19.75,19.75,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.40278140426910564,0-12 months (New)
2639-UGMAZ,Male,1,No,No,71,One year,Yes,Electronic check,56.45,3985.35,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,0.16291428378282,48+ months (Loyal)
2876-GZYZC,Female,0,No,No,13,Month-to-month,Yes,Electronic check,85.95,1215.65,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0.867498754317249,13-24 months
6207-WIOLX,Female,0,Yes,Yes,25,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,0.48721917690638045,25-48 months
8587-XYZSF,Male,0,No,No,67,Two year,No,Bank transfer (automatic),50.55,3260.1,No,Yes,No,DSL,No,No,No,Yes,No,No,0.020613729253992054,48+ months (Loyal)
3091-FYHKI,Male,0,No,No,1,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,No,No phone service,DSL,No,No,No,No,No,Yes,0.8674028085593506,0-12 months (New)
2372-HWUHI,Male,0,No,No,2,Month-to-month,No,Electronic check,44.35,81.25,Yes,Yes,No,DSL,No,No,No,No,No,No,0.6880427943035194,0-12 months (New)
7799-LGRDP,Female,0,No,No,43,Two year,Yes,Credit card (automatic),25.7,1188.2,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.03720400226698525,25-48 months
7850-VWJUU,Female,0,No,No,23,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,0.5940125919718549,13-24 months
3774-VBNXY,Female,0,Yes,Yes,64,Two year,No,Mailed check,20.2,1277.75,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.005862462289512873,48+ months (Loyal)
6217-KDYWC,Male,0,No,Yes,57,Two year,Yes,Mailed check,19.6,1170.55,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.012793015058004432,48+ months (Loyal)
0390-DCFDQ,Female,1,Yes,No,1,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,0.8222535726070959,0-12 months (New)
